"source_dataset_id","player_id","club_id","original_player_name","original_team_name","player_age_years","market_value_mln","value_rank","plays_in_europe","matches_played","goals","assists","minutes_per_goal","minutes_played","instagram_followers_mln"
"1","573","76","Lucas Beltrán","Fiorentina","23","16.0","4","1","170","39","13","238","9264","0.623"
"1","961","107","Wilfried Gnonto","Leeds United","20","16.0","4","1","194","43","24","223","9577","0.172"
"1","372","192","Hugo Duro","Valencia FC","24","16.0","4","1","192","52","14","233","12107","0.107"
"1","634","87","Mateo Retegui","Genova","25","16.0","4","1","192","56","11","209","11731","0.304"
"1","544","59","Konstantin Tyukavin","Dinamo Moscu","22","16.0","4","1","4","1","1","360","360","0.294"
"1","554","44","Kévin Denkey","Brujas FC ","23","16.0","4","1","4","0","1","0","349","0.017"
"1","798","35","Riccardo Orsolini","Bolonia","27","16.0","4","1","306","86","44","225","19343","0.13"
"1","10","173","Adam Armstrong","Southampton","27","16.0","4","1","427","139","52","214","29731","0.075"
"1","993","1","Álvaro Morata","AC Milan","31","16.0","4","1","589","216","82","159","34356","22.6"
"1","338","138","Gift Orban","Olimpic Lyon","22","15.0","4","1","92","54","9","108","5806","0.826"
"1","250","71","Eli Junior Kroupi","FC Lorient","18","15.0","4","1","51","15","4","147","2202","10.4"
"1","73","44","Antonio Nusa","Brujas FC ","19","15.0","4","1","3","0","0","0","187","0.084"
"1","995","50","Ângelo","Chelsea FC","19","15.0","4","1","154","5","14","1460","7302","0.529"
"1","601","138","Malick Fofana","Olimpic Lyon","19","15.0","4","1","98","13","11","387","5036","0.041"
"1","379","193","Ilias Akhomach","Villareal CF","20","15.0","4","1","95","9","5","593","5340","0.825"
"1","992","24","Álvaro Djaló","Athletic Club","24","15.0","4","1","120","25","11","228","5702","0.075"
"1","404","22","Jaden Philogene","Aston Villa","22","15.0","4","1","130","40","14","226","9036","0.0"
"1","527","41","Keane Lewis-Potter","Brentford FC","23","15.0","4","1","176","36","13","304","10928","20.8"
"1","380","67","Iliman Ndiaye","Evertton","24","15.0","4","1","134","26","19","337","8764","0.505"
"1","393","183","Jack Clarke","Sunderland","23","15.0","4","1","192","35","32","377","13288","0.133"
"1","758","201","Patrick Wimmer","Wolfsburgo","23","15.0","4","1","149","20","28","440","8801","0.031"
"1","900","105","Taty Castellanos","Lassio","25","15.0","4","1","248","84","33","201","16893","0.269"
"1","692","22","Morgan Rogers","Aston Villa","22","15.0","4","1","199","46","32","280","12862","0.106"
